tipo_persona,paquete,procedencia,tipo_vehiculo,cve_paquete,disponible
F,LIMITADA,Clásicos,CA2,PRP0000342,1
F,LIMITADA,Clásicos,MOT,,0
F,LIMITADA,Antiguos,AUT,,0
F,LIMITADA,Antiguos,CA1,,0
F,LIMITADA,Antiguos,CA2,,0
F,LIMITADA,Antiguos,MOT,,0
F,LIMITADA,Importado,AUT,PRP0000294,1
F,LIMITADA,Importado,CA1,PRP0000313,1
F,LIMITADA,Importado,CA2,PRP0000332,1
F,LIMITADA,Importado,MOT,,0
F,LIMITADA,Blindado,AUT,PRS0024479,1
F,LIMITADA,Blindado,CA1,PRS0024481,1
F,LIMITADA,Blindado,CA2,PRS0024484,1
F,LIMITADA,Blindado,MOT,,0
F,AUTO ELITE,Residentes,AUT,PRP0000357,1
F,AUTO ELITE,Residentes,CA1,PRP0000359,1
F,AUTO ELITE,Residentes,CA2,,0
F,AUTO ELITE,Residentes,MOT,,0
F,AUTO ELITE,Legalizados,AUT,,0
F,AUTO ELITE,Legalizados,CA1,,0
F,AUTO ELITE,Legalizados,CA2,,0
F,AUTO ELITE,Legalizados,MOT,,0
F,AUTO ELITE,Fronterizos,AUT,,0
F,AUTO ELITE,Fronterizos,CA1,,0
F,AUTO ELITE,Fronterizos,CA2,,0
F,AUTO ELITE,Fronterizos,MOT,,0
F,AUTO ELITE,Clásicos,AUT,,0
F,AUTO ELITE,Clásicos,CA1,,0
F,AUTO ELITE,Clásicos,CA2,,0
F,AUTO ELITE,Clásicos,MOT,,0
F,AUTO ELITE,Antiguos,AUT,,0
F,AUTO ELITE,Antiguos,CA1,,0
F,AUTO ELITE,Antiguos,CA2,,0
F,AUTO ELITE,Antiguos,MOT,,0
F,AUTO ELITE,Importado,AUT,,0
F,AUTO ELITE,Importado,CA1,,0
F,AUTO ELITE,Importado,CA2,,0
F,AUTO ELITE,Importado,MOT,,0
F,AUTO ELITE,Blindado,AUT,PRP0000361,1
F,AUTO ELITE,Blindado,CA1,PRP0000363,1
F,AUTO ELITE,Blindado,CA2,,0
F,AUTO ELITE,Blindado,MOT,,0
F,RESPONSABILIDAD CIVIL,Residentes,AUT,PRP0000289,1
F,RESPONSABILIDAD CIVIL,Residentes,CA1,PRP0000308,1
F,RESPONSABILIDAD CIVIL,Residentes,CA2,PRP0000327,1
F,RESPONSABILIDAD CIVIL,Residentes,MOT,PRS0002974,1
F,RESPONSABILIDAD CIVIL,Legalizados,AUT,PRP0000301,1
F,RESPONSABILIDAD CIVIL,Legalizados,CA1,PRP0000320,1
F,RESPONSABILIDAD CIVIL,Legalizados,CA2,PRP0000339,1
F,RESPONSABILIDAD CIVIL,Legalizados,MOT,PRS0041871,1
F,RESPONSABILIDAD CIVIL,Fronterizos,AUT,PRP0000298,1
F,RESPONSABILIDAD CIVIL,Fronterizos,CA1,PRP0000317,1
F,RESPONSABILIDAD CIVIL,Fronterizos,CA2,PRP0000336,1
F,RESPONSABILIDAD CIVIL,Fronterizos,MOT,PRS0041869,1
F,RESPONSABILIDAD CIVIL,Clásicos,AUT,PRP0000305,1
F,RESPONSABILIDAD CIVIL,Clásicos,CA1,PRP0000324,1
F,RESPONSABILIDAD CIVIL,Clásicos,CA2,PRP0000343,1
F,RESPONSABILIDAD CIVIL,Clásicos,MOT,,0
F,RESPONSABILIDAD CIVIL,Antiguos,AUT,PRP0000302,1
F,RESPONSABILIDAD CIVIL,Antiguos,CA1,PRP0000321,1
F,RESPONSABILIDAD CIVIL,Antiguos,CA2,PRP0000340,1
F,RESPONSABILIDAD CIVIL,Antiguos,MOT,PRS0005278,1
F,RESPONSABILIDAD CIVIL,Importado,AUT,PRP0000295,1
F,RESPONSABILIDAD CIVIL,Importado,CA1,PRP0000314,1
F,RESPONSABILIDAD CIVIL,Importado,CA2,PRP0000333,1
F,RESPONSABILIDAD CIVIL,Importado,MOT,,0
F,RESPONSABILIDAD CIVIL,Blindado,AUT,PRP0000292,1
F,RESPONSABILIDAD CIVIL,Blindado,CA1,PRP0000311,1
F,RESPONSABILIDAD CIVIL,Blindado,CA2,PRP0000330,1
F,RESPONSABILIDAD CIVIL,Blindado,MOT,,0
F,AMPLIA FLEXIBLE,Residentes,AUT,,0
F,AMPLIA FLEXIBLE,Residentes,CA1,,0
F,AMPLIA FLEXIBLE,Residentes,CA2,,0
F,AMPLIA FLEXIBLE,Residentes,MOT,PRS0041144,1
F,AMPLIA FLEXIBLE,Legalizados,AUT,,0
F,AMPLIA FLEXIBLE,Legalizados,CA1,,0
F,AMPLIA FLEXIBLE,Legalizados,CA2,,0
F,AMPLIA FLEXIBLE,Legalizados,MOT,,0
F,AMPLIA FLEXIBLE,Fronterizos,AUT,,0
F,AMPLIA FLEXIBLE,Fronterizos,CA1,,0
F,AMPLIA FLEXIBLE,Fronterizos,CA2,,0
F,AMPLIA FLEXIBLE,Fronterizos,MOT,,0
F,AMPLIA FLEXIBLE,Clásicos,AUT,,0
F,AMPLIA FLEXIBLE,Clásicos,CA1,,0
F,AMPLIA FLEXIBLE,Clásicos,CA2,,0
F,AMPLIA FLEXIBLE,Clásicos,MOT,,0
F,AMPLIA FLEXIBLE,Antiguos,AUT,,0
F,AMPLIA FLEXIBLE,Antiguos,CA1,,0
F,AMPLIA FLEXIBLE,Antiguos,CA2,,0
F,AMPLIA FLEXIBLE,Antiguos,MOT,,0
F,AMPLIA FLEXIBLE,Importado,AUT,,0
F,AMPLIA FLEXIBLE,Importado,CA1,,0
F,AMPLIA FLEXIBLE,Importado,CA2,,0
F,AMPLIA FLEXIBLE,Importado,MOT,,0
F,AMPLIA FLEXIBLE,Blindado,AUT,,0
F,AMPLIA FLEXIBLE,Blindado,CA1,,0
F,AMPLIA FLEXIBLE,Blindado,CA2,,0
F,AMPLIA FLEXIBLE,Blindado,MOT,,0
F,AMPLIA TOTAL,Residentes,AUT,PRS0054748,1
F,AMPLIA TOTAL,Residentes,CA1,PRS0054749,1
F,AMPLIA TOTAL,Residentes,CA2,PRS0054750,1
F,AMPLIA TOTAL,Residentes,MOT,,0
F,AMPLIA TOTAL,Legalizados,AUT,PRS0054810,1
F,AMPLIA TOTAL,Legalizados,CA1,PRS0054811,1
F,AMPLIA TOTAL,Legalizados,CA2,PRS0054813,1
F,AMPLIA TOTAL,Legalizados,MOT,,0
F,AMPLIA TOTAL,Fronterizos,AUT,PRS0054801,1
F,AMPLIA TOTAL,Fronterizos,CA1,PRS0054802,1
F,AMPLIA TOTAL,Fronterizos,CA2,PRS0054803,1
F,AMPLIA TOTAL,Fronterizos,MOT,,0
F,AMPLIA TOTAL,Clásicos,AUT,PRS0054737,1
F,AMPLIA TOTAL,Clásicos,CA1,PRS0054739,1
F,AMPLIA TOTAL,Clásicos,CA2,PRS0054741,1
F,AMPLIA TOTAL,Clásicos,MOT,,0
F,AMPLIA TOTAL,Antiguos,AUT,,0
F,AMPLIA TOTAL,Antiguos,CA1,,0
F,AMPLIA TOTAL,Antiguos,CA2,,0
F,AMPLIA TOTAL,Antiguos,MOT,,0
F,AMPLIA TOTAL,Importado,AUT,PRS0054729,1
F,AMPLIA TOTAL,Importado,CA1,PRS0054730,1
F,AMPLIA TOTAL,Importado,CA2,PRS0054731,1
F,AMPLIA TOTAL,Importado,MOT,,0
F,AMPLIA TOTAL,Blindado,AUT,PRS0054781,1
F,AMPLIA TOTAL,Blindado,CA1,PRS0054783,1
F,AMPLIA TOTAL,Blindado,CA2,PRS0054776,1
F,AMPLIA TOTAL,Blindado,MOT,,0
M,AMPLIA,Residentes,AUT,PRS0009361,1
M,AMPLIA,Residentes,CA1,PRS0009363,1
M,AMPLIA,Residentes,CA2,PRS0009365,1
M,AMPLIA,Residentes,MOT,PRS0002976,1
M,AMPLIA,Legalizados,AUT,PRS0013033,1
M,AMPLIA,Legalizados,CA1,PRS0013037,1
M,AMPLIA,Legalizados,CA2,PRS0013041,1
M,AMPLIA,Legalizados,MOT,,0
M,AMPLIA,Fronterizos,AUT,PRS0013016,1
M,AMPLIA,Fronterizos,CA1,PRS0013020,1
M,AMPLIA,Fronterizos,CA2,PRS0013029,1
M,AMPLIA,Fronterizos,MOT,,0
M,AMPLIA,Clásicos,AUT,PRS0054743,1
M,AMPLIA,Clásicos,CA1,PRS0054744,1
M,AMPLIA,Clásicos,CA2,PRS0054746,1
M,AMPLIA,Clásicos,MOT,,0
M,AMPLIA,Antiguos,AUT,,0
M,AMPLIA,Antiguos,CA1,,0
M,AMPLIA,Antiguos,CA2,,0
M,AMPLIA,Antiguos,MOT,,0
M,AMPLIA,Importado,AUT,PRP0001064,1
M,AMPLIA,Importado,CA1,PRP0001080,1
M,AMPLIA,Importado,CA2,PRP0001096,1
M,AMPLIA,Importado,MOT,,0
M,AMPLIA,Blindado,AUT,PRS0024485,1
M,AMPLIA,Blindado,CA1,PRS0024488,1
M,AMPLIA,Blindado,CA2,PRS0024491,1
M,AMPLIA,Blindado,MOT,,0
M,PREMIUM,Residentes,AUT,PRS0010546,1
M,PREMIUM,Residentes,CA1,PRS0010547,1
M,PREMIUM,Residentes,CA2,,0
M,PREMIUM,Residentes,MOT,PRS0031922,1
M,PREMIUM,Legalizados,AUT,,0
M,PREMIUM,Legalizados,CA1,,0
M,PREMIUM,Legalizados,CA2,,0
M,PREMIUM,Legalizados,MOT,,0
M,PREMIUM,Fronterizos,AUT,,0
M,PREMIUM,Fronterizos,CA1,,0
M,PREMIUM,Fronterizos,CA2,,0
M,PREMIUM,Fronterizos,MOT,,0
M,PREMIUM,Clásicos,AUT,,0
M,PREMIUM,Clásicos,CA1,,0
M,PREMIUM,Clásicos,CA2,,0
M,PREMIUM,Clásicos,MOT,,0
M,PREMIUM,Antiguos,AUT,,0
M,PREMIUM,Antiguos,CA1,,0
M,PREMIUM,Antiguos,CA2,,0
M,PREMIUM,Antiguos,MOT,,0
M,PREMIUM,Importado,AUT,,0
M,PREMIUM,Importado,CA1,,0
M,PREMIUM,Importado,CA2,,0
M,PREMIUM,Importado,MOT,,0
M,PREMIUM,Blindado,AUT,PRS0024486,1
M,PREMIUM,Blindado,CA1,PRS0024489,1
M,PREMIUM,Blindado,CA2,,0
M,PREMIUM,Blindado,MOT,,0
M,LIMITADA,Residentes,AUT,PRS0009362,1
M,LIMITADA,Residentes,CA1,PRS0009364,1
M,LIMITADA,Residentes,CA2,PRS0009366,1
M,LIMITADA,Residentes,MOT,PRS0002977,1
M,LIMITADA,Legalizados,AUT,PRS0013034,1
M,LIMITADA,Legalizados,CA1,PRS0013038,1
M,LIMITADA,Legalizados,CA2,PRS0013042,1
M,LIMITADA,Legalizados,MOT,,0
M,LIMITADA,Fronterizos,AUT,PRS0013017,1
M,LIMITADA,Fronterizos,CA1,PRS0013021,1
M,LIMITADA,Fronterizos,CA2,PRS0013030,1
M,LIMITADA,Fronterizos,MOT,,0
M,LIMITADA,Clásicos,AUT,PRP0001075,1
M,LIMITADA,Clásicos,CA1,PRP0001091,1
M,LIMITADA,Clásicos,CA2,PRP0001107,1
M,LIMITADA,Clásicos,MOT,,0
M,LIMITADA,Antiguos,AUT,,0
M,LIMITADA,Antiguos,CA1,,0
M,LIMITADA,Antiguos,CA2,,0
M,LIMITADA,Antiguos,MOT,,0
M,LIMITADA,Importado,AUT,PRP0001065,1
M,LIMITADA,Importado,CA1,PRP0001081,1
M,LIMITADA,Importado,CA2,PRP0001097,1
M,LIMITADA,Importado,MOT,,0
M,LIMITADA,Blindado,AUT,PRS0024487,1
M,LIMITADA,Blindado,CA1,PRS0024490,1
M,LIMITADA,Blindado,CA2,PRS0024492,1
M,LIMITADA,Blindado,MOT,,0
M,AUTO ELITE,Residentes,AUT,PRP0000125,1
M,AUTO ELITE,Residentes,CA1,PRP0000128,1
M,AUTO ELITE,Residentes,CA2,,0
M,AUTO ELITE,Residentes,MOT,,0
M,AUTO ELITE,Legalizados,AUT,,0
M,AUTO ELITE,Legalizados,CA1,,0
M,AUTO ELITE,Legalizados,CA2,,0
M,AUTO ELITE,Legalizados,MOT,,0
M,AUTO ELITE,Fronterizos,AUT,,0
M,AUTO ELITE,Fronterizos,CA1,,0
M,AUTO ELITE,Fronterizos,CA2,,0
M,AUTO ELITE,Fronterizos,MOT,,0
M,AUTO ELITE,Clásicos,AUT,,0
M,AUTO ELITE,Clásicos,CA1,,0
M,AUTO ELITE,Clásicos,CA2,,0
M,AUTO ELITE,Clásicos,MOT,,0
M,AUTO ELITE,Antiguos,AUT,,0
M,AUTO ELITE,Antiguos,CA1,,0
M,AUTO ELITE,Antiguos,CA2,,0
M,AUTO ELITE,Antiguos,MOT,,0
M,AUTO ELITE,Importado,AUT,,0
M,AUTO ELITE,Importado,CA1,,0
M,AUTO ELITE,Importado,CA2,,0
M,AUTO ELITE,Importado,MOT,,0
M,AUTO ELITE,Blindado,AUT,PRP0000126,1
M,AUTO ELITE,Blindado,CA1,PRP0000129,1
M,AUTO ELITE,Blindado,CA2,,0
M,AUTO ELITE,Blindado,MOT,,0
M,RESPONSABILIDAD CIVIL,Residentes,AUT,PRP0000349,1
M,RESPONSABILIDAD CIVIL,Residentes,CA1,PRP0000352,1
M,RESPONSABILIDAD CIVIL,Residentes,CA2,PRP0000355,1
M,RESPONSABILIDAD CIVIL,Residentes,MOT,PRS0002978,1
M,RESPONSABILIDAD CIVIL,Legalizados,AUT,PRP0001072,1
M,RESPONSABILIDAD CIVIL,Legalizados,CA1,PRP0001088,1
M,RESPONSABILIDAD CIVIL,Legalizados,CA2,PRP0001104,1
M,RESPONSABILIDAD CIVIL,Legalizados,MOT,PRS0041872,1
M,RESPONSABILIDAD CIVIL,Fronterizos,AUT,PRP0001069,1
M,RESPONSABILIDAD CIVIL,Fronterizos,CA1,PRP0001085,1
M,RESPONSABILIDAD CIVIL,Fronterizos,CA2,PRP0001101,1
M,RESPONSABILIDAD CIVIL,Fronterizos,MOT,PRS0041870,1
M,RESPONSABILIDAD CIVIL,Clásicos,AUT,PRP0001076,1
M,RESPONSABILIDAD CIVIL,Clásicos,CA1,PRP0001092,1
M,RESPONSABILIDAD CIVIL,Clásicos,CA2,PRP0001108,1
M,RESPONSABILIDAD CIVIL,Clásicos,MOT,,0
M,RESPONSABILIDAD CIVIL,Antiguos,AUT,PRP0001073,1
M,RESPONSABILIDAD CIVIL,Antiguos,CA1,PRP0001089,1
M,RESPONSABILIDAD CIVIL,Antiguos,CA2,PRP0001105,1
M,RESPONSABILIDAD CIVIL,Antiguos,MOT,PRS0005281,1
M,RESPONSABILIDAD CIVIL,Importado,AUT,PRP0001066,1
M,RESPONSABILIDAD CIVIL,Importado,CA1,PRP0001082,1
M,RESPONSABILIDAD CIVIL,Importado,CA2,PRP0001098,1
M,RESPONSABILIDAD CIVIL,Importado,MOT,,0
M,RESPONSABILIDAD CIVIL,Blindado,AUT,PRP0001063,1
M,RESPONSABILIDAD CIVIL,Blindado,CA1,PRP0001079,1
M,RESPONSABILIDAD CIVIL,Blindado,CA2,PRP0001095,1
M,RESPONSABILIDAD CIVIL,Blindado,MOT,,0
M,AMPLIA FLEXIBLE,Residentes,AUT,,0
M,AMPLIA FLEXIBLE,Residentes,CA1,,0
M,AMPLIA FLEXIBLE,Residentes,CA2,,0
M,AMPLIA FLEXIBLE,Residentes,MOT,PRS0041145,1
M,AMPLIA FLEXIBLE,Legalizados,AUT,,0
M,AMPLIA FLEXIBLE,Legalizados,CA1,,0
M,AMPLIA FLEXIBLE,Legalizados,CA2,,0
M,AMPLIA FLEXIBLE,Legalizados,MOT,,0
M,AMPLIA FLEXIBLE,Fronterizos,AUT,,0
M,AMPLIA FLEXIBLE,Fronterizos,CA1,,0
M,AMPLIA FLEXIBLE,Fronterizos,CA2,,0
M,AMPLIA FLEXIBLE,Fronterizos,MOT,,0
M,AMPLIA FLEXIBLE,Clásicos,AUT,,0
M,AMPLIA FLEXIBLE,Clásicos,CA1,,0
M,AMPLIA FLEXIBLE,Clásicos,CA2,,0
M,AMPLIA FLEXIBLE,Clásicos,MOT,,0
M,AMPLIA FLEXIBLE,Antiguos,AUT,,0
M,AMPLIA FLEXIBLE,Antiguos,CA1,,0
M,AMPLIA FLEXIBLE,Antiguos,CA2,,0
M,AMPLIA FLEXIBLE,Antiguos,MOT,,0
M,AMPLIA FLEXIBLE,Importado,AUT,,0
M,AMPLIA FLEXIBLE,Importado,CA1,,0
M,AMPLIA FLEXIBLE,Importado,CA2,,0
M,AMPLIA FLEXIBLE,Importado,MOT,,0
M,AMPLIA FLEXIBLE,Blindado,AUT,,0
M,AMPLIA FLEXIBLE,Blindado,CA1,,0
M,AMPLIA FLEXIBLE,Blindado,CA2,,0
M,AMPLIA FLEXIBLE,Blindado,MOT,,0
M,AMPLIA TOTAL,Residentes,AUT,PRS0054752,1
M,AMPLIA TOTAL,Residentes,CA1,PRS0054753,1
M,AMPLIA TOTAL,Residentes,CA2,PRS0054754,1
M,AMPLIA TOTAL,Residentes,MOT,,0
M,AMPLIA TOTAL,Legalizados,AUT,PRS0054815,1
M,AMPLIA TOTAL,Legalizados,CA1,PRS0054816,1
M,AMPLIA TOTAL,Legalizados,CA2,PRS0054817,1
M,AMPLIA TOTAL,Legalizados,MOT,,0
M,AMPLIA TOTAL,Fronterizos,AUT,PRS0054804,1
M,AMPLIA TOTAL,Fronterizos,CA1,PRS0054809,1
M,AMPLIA TOTAL,Fronterizos,CA2,PRS0054808,1
M,AMPLIA TOTAL,Fronterizos,MOT,,0
M,AMPLIA TOTAL,Clásicos,AUT,PRS0054742,1
M,AMPLIA TOTAL,Clásicos,CA1,PRS0054745,1
M,AMPLIA TOTAL,Clásicos,CA2,PRS0054747,1
M,AMPLIA TOTAL,Clásicos,MOT,,0
M,AMPLIA TOTAL,Antiguos,AUT,,0
M,AMPLIA TOTAL,Antiguos,CA1,,0
M,AMPLIA TOTAL,Antiguos,CA2,,0
M,AMPLIA TOTAL,Antiguos,MOT,,0
M,AMPLIA TOTAL,Importado,AUT,PRS0054733,1
M,AMPLIA TOTAL,Importado,CA1,PRS0054734,1
M,AMPLIA TOTAL,Importado,CA2,PRS0054735,1
M,AMPLIA TOTAL,Importado,MOT,,0
M,AMPLIA TOTAL,Blindado,AUT,PRS0054782,1
M,AMPLIA TOTAL,Blindado,CA1,PRS0054784,1
M,AMPLIA TOTAL,Blindado,CA2,PRS0054777,1
M,AMPLIA TOTAL,Blindado,MOT,,0
