cve_cobertura,nombre_cobertura,aplica_a,tipo_valor,valor
0000001348,Ayuda para Pérdidas Totales,AUT_CA1_CA2,SUMA_ASEGURADA,15000
0000001268,Club GNP,AUT_CA1_CA2,SUMA_ASEGURADA,Amparada
0000000891,Cristales,AUT_CA1_CA2,SUMA_ASEGURADA,Amparada
0000000891,Cristales,AUT_CA1_CA2,DEDUCIBLE,20
0000001289,Daños Materiales Pérdida Parcial,AUT_CA1_CA2,DEDUCIBLE,3
0000001289,Daños Materiales Pérdida Parcial,AUT_CA1_CA2,DEDUCIBLE,5
0000001289,Daños Materiales Pérdida Parcial,AUT_CA1_CA2,DEDUCIBLE,10
0000001288,Daños Materiales Pérdida Total,AUT_CA1_CA2,DEDUCIBLE,0
0000001288,Daños Materiales Pérdida Total,AUT_CA1_CA2,DEDUCIBLE,3
0000001288,Daños Materiales Pérdida Total,AUT_CA1_CA2,DEDUCIBLE,5
0000001288,Daños Materiales Pérdida Total,AUT_CA1_CA2,DEDUCIBLE,10
0000000904,Extensión de Responsabilidad Civil,AUT_CA1_CA2,SUMA_ASEGURADA,1000000
0000000904,Extensión de Responsabilidad Civil,AUT_CA1_CA2,SUMA_ASEGURADA,1500000
0000000904,Extensión de Responsabilidad Civil,AUT_CA1_CA2,SUMA_ASEGURADA,2000000
0000000904,Extensión de Responsabilidad Civil,AUT_CA1_CA2,SUMA_ASEGURADA,2500000
0000000904,Extensión de Responsabilidad Civil,AUT_CA1_CA2,SUMA_ASEGURADA,3000000
0000000904,Extensión de Responsabilidad Civil,AUT_CA1_CA2,SUMA_ASEGURADA,3500000
0000000904,Extensión de Responsabilidad Civil,AUT_CA1_CA2,SUMA_ASEGURADA,4000000
0000000904,Extensión de Responsabilidad Civil,AUT_CA1_CA2,SUMA_ASEGURADA,4500000
0000000904,Extensión de Responsabilidad Civil,AUT_CA1_CA2,SUMA_ASEGURADA,5000000
0000000906,Gastos Médicos Ocupantes,AUT_CA1_CA2,SUMA_ASEGURADA,100000
0000000906,Gastos Médicos Ocupantes,AUT_CA1_CA2,SUMA_ASEGURADA,120000
0000000906,Gastos Médicos Ocupantes,AUT_CA1_CA2,SUMA_ASEGURADA,150000
0000000906,Gastos Médicos Ocupantes,AUT_CA1_CA2,SUMA_ASEGURADA,200000
0000000906,Gastos Médicos Ocupantes,AUT_CA1_CA2,SUMA_ASEGURADA,300000
0000000906,Gastos Médicos Ocupantes,AUT_CA1_CA2,SUMA_ASEGURADA,400000
0000000906,Gastos Médicos Ocupantes,AUT_CA1_CA2,SUMA_ASEGURADA,500000
0000000906,Gastos Médicos Ocupantes,AUT_CA1_CA2,SUMA_ASEGURADA,600000
0000000906,Gastos Médicos Ocupantes,AUT_CA1_CA2,SUMA_ASEGURADA,700000
0000000906,Gastos Médicos Ocupantes,AUT_CA1_CA2,SUMA_ASEGURADA,800000
0000000906,Gastos Médicos Ocupantes,AUT_CA1_CA2,SUMA_ASEGURADA,900000
0000000906,Gastos Médicos Ocupantes,AUT_CA1_CA2,SUMA_ASEGURADA,1000000
0000000909,Protección Auxiliar,AUT_CA1_CA2,SUMA_ASEGURADA,Amparada
0000001285,Protección Legal,AUT_CA1_CA2,SUMA_ASEGURADA,1000000
0000001285,Protección Legal,AUT_CA1_CA2,SUMA_ASEGURADA,1500000
0000001285,Protección Legal,AUT_CA1_CA2,SUMA_ASEGURADA,2000000
0000001285,Protección Legal,AUT_CA1_CA2,SUMA_ASEGURADA,2500000
0000001285,Protección Legal,AUT_CA1_CA2,SUMA_ASEGURADA,3000000
0000001285,Protección Legal,AUT_CA1_CA2,SUMA_ASEGURADA,3500000
0000001285,Protección Legal,AUT_CA1_CA2,SUMA_ASEGURADA,4000000
0000001285,Protección Legal,AUT_CA1_CA2,SUMA_ASEGURADA,4500000
0000001285,Protección Legal,AUT_CA1_CA2,SUMA_ASEGURADA,5000000
0000001453,Responsabilidad Civil Ocupantes,AUT_CA1_CA2,SUMA_ASEGURADA,1000000
0000001453,Responsabilidad Civil Ocupantes,AUT_CA1_CA2,SUMA_ASEGURADA,1500000
0000001453,Responsabilidad Civil Ocupantes,AUT_CA1_CA2,SUMA_ASEGURADA,2000000
0000001453,Responsabilidad Civil Ocupantes,AUT_CA1_CA2,SUMA_ASEGURADA,2500000
0000001453,Responsabilidad Civil Ocupantes,AUT_CA1_CA2,SUMA_ASEGURADA,3000000
0000001453,Responsabilidad Civil Ocupantes,AUT_CA1_CA2,SUMA_ASEGURADA,3500000
0000001453,Responsabilidad Civil Ocupantes,AUT_CA1_CA2,SUMA_ASEGURADA,4000000
0000001453,Responsabilidad Civil Ocupantes,AUT_CA1_CA2,SUMA_ASEGURADA,4500000
0000001453,Responsabilidad Civil Ocupantes,AUT_CA1_CA2,SUMA_ASEGURADA,5000000
0000001273,Responsabilidad Civil por Daños a Terceros,AUT_CA1_CA2,SUMA_ASEGURADA,1000000
0000001273,Responsabilidad Civil por Daños a Terceros,AUT_CA1_CA2,SUMA_ASEGURADA,1500000
0000001273,Responsabilidad Civil por Daños a Terceros,AUT_CA1_CA2,SUMA_ASEGURADA,2000000
0000001273,Responsabilidad Civil por Daños a Terceros,AUT_CA1_CA2,SUMA_ASEGURADA,2500000
0000001273,Responsabilidad Civil por Daños a Terceros,AUT_CA1_CA2,SUMA_ASEGURADA,3000000
0000001273,Responsabilidad Civil por Daños a Terceros,AUT_CA1_CA2,SUMA_ASEGURADA,3500000
0000001273,Responsabilidad Civil por Daños a Terceros,AUT_CA1_CA2,SUMA_ASEGURADA,4000000
0000001273,Responsabilidad Civil por Daños a Terceros,AUT_CA1_CA2,SUMA_ASEGURADA,4500000
0000001273,Responsabilidad Civil por Daños a Terceros,AUT_CA1_CA2,SUMA_ASEGURADA,5000000
0000001452,Responsabilidad Civil Fallecimiento,AUT_CA1_CA2,SUMA_ASEGURADA,1000000
0000001452,Responsabilidad Civil Fallecimiento,AUT_CA1_CA2,SUMA_ASEGURADA,1500000
0000001452,Responsabilidad Civil Fallecimiento,AUT_CA1_CA2,SUMA_ASEGURADA,2000000
0000001452,Responsabilidad Civil Fallecimiento,AUT_CA1_CA2,SUMA_ASEGURADA,2500000
0000001452,Responsabilidad Civil Fallecimiento,AUT_CA1_CA2,SUMA_ASEGURADA,3000000
0000001452,Responsabilidad Civil Fallecimiento,AUT_CA1_CA2,SUMA_ASEGURADA,3500000
0000001452,Responsabilidad Civil Fallecimiento,AUT_CA1_CA2,SUMA_ASEGURADA,4000000
0000001452,Responsabilidad Civil Fallecimiento,AUT_CA1_CA2,SUMA_ASEGURADA,4500000
0000001452,Responsabilidad Civil Fallecimiento,AUT_CA1_CA2,SUMA_ASEGURADA,5000000
0000000916,Robo Total,AUT_CA1_CA2,DEDUCIBLE,0
0000000916,Robo Total,AUT_CA1_CA2,DEDUCIBLE,3
0000000916,Robo Total,AUT_CA1_CA2,DEDUCIBLE,5
0000000916,Robo Total,AUT_CA1_CA2,DEDUCIBLE,10
0000000916,Robo Total,AUT_CA1_CA2,DEDUCIBLE,20
0000001470,Ayuda Llantas/Rines,AUT_CA1_CA2,SUMA_ASEGURADA,25000
0000001470,Ayuda Llantas/Rines,AUT_CA1_CA2,DEDUCIBLE,25
0000001471,Llaves de Repuesto,AUT_CA1_CA2,SUMA_ASEGURADA,5000
0000001471,Llaves de Repuesto,AUT_CA1_CA2,DEDUCIBLE,20
0000001472,Pago Cero,AUT_CA1_CA2,SUMA_ASEGURADA,Amparada
0000001473,Siempre en Agencia,AUT_CA1_CA2,SUMA_ASEGURADA,Amparada
0000001461,Robo Parcial,AUT_CA1_CA2,SUMA_ASEGURADA,Amparada
0000001461,Robo Parcial,AUT_CA1_CA2,DEDUCIBLE,10
0000001461,Robo Parcial,AUT_CA1_CA2,DEDUCIBLE,25
0000001462,Robo Parcial Plus,AUT_CA1_CA2,SUMA_ASEGURADA,Amparada
0000001462,Robo Parcial Plus,AUT_CA1_CA2,DEDUCIBLE,10
0000001462,Robo Parcial Plus,AUT_CA1_CA2,DEDUCIBLE,25
0000001564,Conductor Protegido,AUT_CA1_CA2,SUMA_ASEGURADA,Amparada
0000001465,Garantia Autos Financiamiento,AUT_CA1_CA2,SUMA_ASEGURADA,Amparada
0000001689,Eliminacion de Deducible en Perdidas Parciales,AUT_CA1_CA2,SUMA_ASEGURADA,Amparada
0000001690,Robo Articulos Personales Autos,AUT_CA1_CA2,SUMA_ASEGURADA,5000
0000001690,Robo Articulos Personales Autos,AUT_CA1_CA2,SUMA_ASEGURADA,10000
0000001690,Robo Articulos Personales Autos,AUT_CA1_CA2,DEDUCIBLE,10 UMAS
0000000893,Accidentes al Conductor,MOT,SUMA_ASEGURADA,50000
0000000893,Accidentes al Conductor,MOT,SUMA_ASEGURADA,100000
0000000893,Accidentes al Conductor,MOT,SUMA_ASEGURADA,150000
0000000893,Accidentes al Conductor,MOT,SUMA_ASEGURADA,200000
0000000893,Accidentes al Conductor,MOT,SUMA_ASEGURADA,250000
0000000893,Accidentes al Conductor,MOT,SUMA_ASEGURADA,300000
0000000894,Adap. Conversiones y Equipo Esp.,MOT,SUMA_ASEGURADA,Amparada
0000000894,Adap. Conversiones y Equipo Esp.,MOT,DEDUCIBLE,25
0000001289,Daños Materiales Pérdida Parcial,MOT,SUMA_ASEGURADA,5
0000001289,Daños Materiales Pérdida Parcial,MOT,SUMA_ASEGURADA,8
0000001289,Daños Materiales Pérdida Parcial,MOT,SUMA_ASEGURADA,10
0000001289,Daños Materiales Pérdida Parcial,MOT,SUMA_ASEGURADA,15
0000001289,Daños Materiales Pérdida Parcial,MOT,SUMA_ASEGURADA,25
0000001289,Daños Materiales Pérdida Parcial,MOT,SUMA_ASEGURADA,30
0000001288,Daños Materiales Pérdida Total,MOT,SUMA_ASEGURADA,5
0000001288,Daños Materiales Pérdida Total,MOT,SUMA_ASEGURADA,8
0000001288,Daños Materiales Pérdida Total,MOT,SUMA_ASEGURADA,10
0000001288,Daños Materiales Pérdida Total,MOT,SUMA_ASEGURADA,15
0000001288,Daños Materiales Pérdida Total,MOT,SUMA_ASEGURADA,25
0000001288,Daños Materiales Pérdida Total,MOT,SUMA_ASEGURADA,30
0000000904,Extensión de Responsabilidad Civil,MOT,SUMA_ASEGURADA,1000000
0000000904,Extensión de Responsabilidad Civil,MOT,SUMA_ASEGURADA,1500000
0000000904,Extensión de Responsabilidad Civil,MOT,SUMA_ASEGURADA,2000000
0000000904,Extensión de Responsabilidad Civil,MOT,SUMA_ASEGURADA,2500000
0000000904,Extensión de Responsabilidad Civil,MOT,SUMA_ASEGURADA,3000000
0000000904,Extensión de Responsabilidad Civil,MOT,SUMA_ASEGURADA,3500000
0000000904,Extensión de Responsabilidad Civil,MOT,SUMA_ASEGURADA,4000000
0000000904,Extensión de Responsabilidad Civil,MOT,SUMA_ASEGURADA,4500000
0000000904,Extensión de Responsabilidad Civil,MOT,SUMA_ASEGURADA,5000000
0000000906,Gastos Médicos Ocupantes,MOT,SUMA_ASEGURADA,20000
0000000906,Gastos Médicos Ocupantes,MOT,SUMA_ASEGURADA,30000
0000000906,Gastos Médicos Ocupantes,MOT,SUMA_ASEGURADA,40000
0000000906,Gastos Médicos Ocupantes,MOT,SUMA_ASEGURADA,50000
0000000906,Gastos Médicos Ocupantes,MOT,SUMA_ASEGURADA,60000
0000000906,Gastos Médicos Ocupantes,MOT,SUMA_ASEGURADA,70000
0000000906,Gastos Médicos Ocupantes,MOT,SUMA_ASEGURADA,80000
0000000906,Gastos Médicos Ocupantes,MOT,SUMA_ASEGURADA,90000
0000000906,Gastos Médicos Ocupantes,MOT,SUMA_ASEGURADA,100000
0000000906,Gastos Médicos Ocupantes,MOT,SUMA_ASEGURADA,200000
0000000906,Gastos Médicos Ocupantes,MOT,SUMA_ASEGURADA,300000
0000000906,Gastos Médicos Ocupantes,MOT,SUMA_ASEGURADA,400000
0000000906,Gastos Médicos Ocupantes,MOT,SUMA_ASEGURADA,500000
0000001285,Protección Legal,MOT,SUMA_ASEGURADA,1000000
0000001285,Protección Legal,MOT,SUMA_ASEGURADA,1500000
0000001285,Protección Legal,MOT,SUMA_ASEGURADA,2000000
0000001285,Protección Legal,MOT,SUMA_ASEGURADA,2500000
0000001285,Protección Legal,MOT,SUMA_ASEGURADA,3000000
0000001285,Protección Legal,MOT,SUMA_ASEGURADA,3500000
0000001285,Protección Legal,MOT,SUMA_ASEGURADA,4000000
0000001285,Protección Legal,MOT,SUMA_ASEGURADA,4500000
0000001285,Protección Legal,MOT,SUMA_ASEGURADA,5000000
0000001273,Responsabilidad Civil por Daños a Terceros,MOT,SUMA_ASEGURADA,1000000
0000001273,Responsabilidad Civil por Daños a Terceros,MOT,SUMA_ASEGURADA,1500000
0000001273,Responsabilidad Civil por Daños a Terceros,MOT,SUMA_ASEGURADA,2000000
0000001273,Responsabilidad Civil por Daños a Terceros,MOT,SUMA_ASEGURADA,2500000
0000001273,Responsabilidad Civil por Daños a Terceros,MOT,SUMA_ASEGURADA,3000000
0000001273,Responsabilidad Civil por Daños a Terceros,MOT,SUMA_ASEGURADA,3500000
0000001273,Responsabilidad Civil por Daños a Terceros,MOT,SUMA_ASEGURADA,4000000
0000001273,Responsabilidad Civil por Daños a Terceros,MOT,SUMA_ASEGURADA,4500000
0000001273,Responsabilidad Civil por Daños a Terceros,MOT,SUMA_ASEGURADA,5000000
0000001452,Responsabilidad Civil Fallecimiento,MOT,SUMA_ASEGURADA,500000
0000001452,Responsabilidad Civil Fallecimiento,MOT,SUMA_ASEGURADA,1000000
0000001452,Responsabilidad Civil Fallecimiento,MOT,SUMA_ASEGURADA,1500000
0000001452,Responsabilidad Civil Fallecimiento,MOT,SUMA_ASEGURADA,2000000
0000001452,Responsabilidad Civil Fallecimiento,MOT,SUMA_ASEGURADA,2500000
0000001452,Responsabilidad Civil Fallecimiento,MOT,SUMA_ASEGURADA,3000000
0000001452,Responsabilidad Civil Fallecimiento,MOT,SUMA_ASEGURADA,3500000
0000001452,Responsabilidad Civil Fallecimiento,MOT,SUMA_ASEGURADA,4000000
0000001452,Responsabilidad Civil Fallecimiento,MOT,SUMA_ASEGURADA,4500000
0000001452,Responsabilidad Civil Fallecimiento,MOT,SUMA_ASEGURADA,5000000
0000000916,Robo Total,MOT,DEDUCIBLE,5
0000000916,Robo Total,MOT,DEDUCIBLE,10
0000000916,Robo Total,MOT,DEDUCIBLE,15
0000000916,Robo Total,MOT,DEDUCIBLE,20
0000000916,Robo Total,MOT,DEDUCIBLE,25
0000000916,Robo Total,MOT,DEDUCIBLE,30
0000001471,Llaves de Repuesto,MOT,SUMA_ASEGURADA,5000
0000001471,Llaves de Repuesto,MOT,DEDUCIBLE,20
0000001472,Pago Cero,MOT,SUMA_ASEGURADA,Amparada
0000001564,Conductor Protegido,MOT,SUMA_ASEGURADA,Amparada
0000001465,Garantia Autos Financiamiento,MOT,SUMA_ASEGURADA,Amparada
0000001567,Asistencia Vial Moto,MOT,SUMA_ASEGURADA,Amparada
0000001689,Eliminacion de Deducible en Perdidas Parciales,MOT,SUMA_ASEGURADA,Amparada
0000001688,Responsabilidad Civil por Daño Moral,MOT,SUMA_ASEGURADA,1000000
0000001688,Responsabilidad Civil por Daño Moral,MOT,SUMA_ASEGURADA,1500000
0000001688,Responsabilidad Civil por Daño Moral,MOT,SUMA_ASEGURADA,2000000
0000001688,Responsabilidad Civil por Daño Moral,MOT,SUMA_ASEGURADA,2500000
0000001688,Responsabilidad Civil por Daño Moral,MOT,SUMA_ASEGURADA,3000000
0000001688,Responsabilidad Civil por Daño Moral,MOT,SUMA_ASEGURADA,3500000
0000001688,Responsabilidad Civil por Daño Moral,MOT,SUMA_ASEGURADA,4000000
0000001688,Responsabilidad Civil por Daño Moral,MOT,SUMA_ASEGURADA,4500000
0000001688,Responsabilidad Civil por Daño Moral,MOT,SUMA_ASEGURADA,5000000
